32,16,256,16,16,os,571,89.667
16,16,512,16,16,os,541,94.64
32,32,128,16,16,os,631,81.141
8,32,256,16,16,os,571,44.834
32,16,128,16,16,os,315,81.27
16,16,256,16,16,os,285,89.825
32,32,64,16,16,os,375,68.267
8,32,128,16,16,os,315,40.635
32,16,64,16,16,os,187,68.449
16,16,128,16,16,os,157,81.529
32,32,32,16,16,os,247,51.822
8,32,64,16,16,os,187,34.225
32,16,32,16,16,os,123,52.033
16,16,64,16,16,os,93,68.817
32,32,16,16,16,os,183,34.973
8,32,32,16,16,os,123,26.016
32,16,16,16,16,os,91,35.165
16,16,32,16,16,os,61,52.459
32,32,8,16,16,os,151,21.192
16,64,128,16,16,os,631,81.141
64,32,64,16,16,os,751,68.176
64,64,32,16,16,os,991,51.665
16,64,64,16,16,os,375,68.267
64,32,32,16,16,os,495,51.717
64,64,16,16,16,os,735,34.83
16,64,32,16,16,os,247,51.822
64,32,16,16,16,os,367,34.877
64,64,8,16,16,os,607,21.087
32,128,32,16,16,os,991,51.665
128,64,16,16,16,os,1471,34.806
128,128,8,16,16,os,2431,21.061
8,32,16,16,16,os,91,17.582
32,16,8,16,16,os,75,21.333
16,16,16,16,16,os,45,35.556
32,32,4,16,16,os,135,11.852
8,32,8,16,16,os,75,10.667
32,16,4,16,16,os,67,11.94
16,16,8,16,16,os,37,21.622
32,32,2,16,16,os,127,6.299
8,32,4,16,16,os,67,5.97
32,16,2,16,16,os,63,6.349
16,16,4,16,16,os,33,12.121
32,32,1,16,16,os,123,3.252
8,32,2,16,16,os,63,3.175
32,16,1,16,16,os,61,3.279
16,16,2,16,16,os,31,6.452
8,32,1,16,16,os,61,1.639
16,16,1,16,16,os,30,3.333
16,64,16,16,16,os,183,34.973
64,32,8,16,16,os,303,21.122
64,64,4,16,16,os,543,11.786
16,64,8,16,16,os,151,21.192
64,32,4,16,16,os,271,11.808
64,64,2,16,16,os,511,6.262
16,64,4,16,16,os,135,11.852
64,32,2,16,16,os,255,6.275
64,64,1,16,16,os,495,3.232
16,64,2,16,16,os,127,6.299
64,32,1,16,16,os,247,3.239
16,64,1,16,16,os,123,3.252
32,128,16,16,16,os,735,34.83
128,64,8,16,16,os,1215,21.07
128,128,4,16,16,os,2175,11.77
32,128,8,16,16,os,607,21.087
128,64,4,16,16,os,1087,11.776
128,128,2,16,16,os,2047,6.253
32,128,4,16,16,os,543,11.786
128,64,2,16,16,os,1023,6.256
128,128,1,16,16,os,1983,3.227
32,128,2,16,16,os,511,6.262
128,64,1,16,16,os,991,3.229
32,128,1,16,16,os,495,3.232
8,64,128,16,16,os,631,40.571
8,64,64,16,16,os,375,34.133
8,64,32,16,16,os,247,25.911
16,128,64,16,16,os,751,68.176
8,128,64,16,16,os,751,34.088
16,128,32,16,16,os,495,51.717
8,128,32,16,16,os,495,25.859
16,128,16,16,16,os,367,34.877
8,16,256,16,16,os,285,44.912
4,32,256,16,16,os,571,22.417
4,16,512,16,16,os,541,23.660
8,8,512,16,16,os,541,23.660
2,32,256,16,16,os,571,11.208
8,16,128,16,16,os,157,40.764
4,32,128,16,16,os,315,20.317
4,16,256,16,16,os,285,22.456
8,8,256,16,16,os,285,22.456
2,32,128,16,16,os,315,10.159
8,16,64,16,16,os,93,34.409
4,32,64,16,16,os,187,17.112
4,16,128,16,16,os,157,20.382
8,8,128,16,16,os,157,20.382
2,32,64,16,16,os,187,8.556
8,16,32,16,16,os,61,26.230
4,32,32,16,16,os,123,13.008
4,16,64,16,16,os,93,17.204
8,8,64,16,16,os,93,17.204
